rss,vms,shared,text,lib,data,dirty,time,brand_raw,vendor_id_raw,arch,count,l2_cache_size,l3_cache_size,hz_actual_friendly,hz_advertised_friendly,l2_cache_line_size,l2_cache_associativity,benchmark
442368,37638144,393216,28672,0,806912,0,7.152557373046875e-07,Intel(R) Xeon(R) CPU E5-2643 v3 @ 3.40GHz,GenuineIntel,X86_64,12,3145728,20971520,3.7000 GHz,3.4000 GHz,256,6,KNP
147820544,181657600,11542528,28672,0,139300864,0,1.0011358261108398,Intel(R) Xeon(R) CPU E5-2643 v3 @ 3.40GHz,GenuineIntel,X86_64,12,3145728,20971520,3.7000 GHz,3.4000 GHz,256,6,KNP
151064576,184901632,11542528,28672,0,142544896,0,1.0308053493499756,Intel(R) Xeon(R) CPU E5-2643 v3 @ 3.40GHz,GenuineIntel,X86_64,12,3145728,20971520,3.7000 GHz,3.4000 GHz,256,6,KNP
154038272,187875328,11542528,28672,0,145518592,0,1.0622198581695557,Intel(R) Xeon(R) CPU E5-2643 v3 @ 3.40GHz,GenuineIntel,X86_64,12,3145728,20971520,3.7000 GHz,3.4000 GHz,256,6,KNP
157011968,190849024,11542528,28672,0,148492288,0,1.0947093963623047,Intel(R) Xeon(R) CPU E5-2643 v3 @ 3.40GHz,GenuineIntel,X86_64,12,3145728,20971520,3.7000 GHz,3.4000 GHz,256,6,KNP
160796672,194363392,11542528,28672,0,152006656,0,1.1281378269195557,Intel(R) Xeon(R) CPU E5-2643 v3 @ 3.40GHz,GenuineIntel,X86_64,12,3145728,20971520,3.7000 GHz,3.4000 GHz,256,6,KNP
164040704,197472256,11542528,28672,0,155115520,0,1.1626238822937012,Intel(R) Xeon(R) CPU E5-2643 v3 @ 3.40GHz,GenuineIntel,X86_64,12,3145728,20971520,3.7000 GHz,3.4000 GHz,256,6,KNP
167825408,200716288,11542528,28672,0,158359552,0,1.198120355606079,Intel(R) Xeon(R) CPU E5-2643 v3 @ 3.40GHz,GenuineIntel,X86_64,12,3145728,20971520,3.7000 GHz,3.4000 GHz,256,6,KNP
172392448,221007872,11542528,28672,0,178651136,0,1.234745979309082,Intel(R) Xeon(R) CPU E5-2643 v3 @ 3.40GHz,GenuineIntel,X86_64,12,3145728,20971520,3.7000 GHz,3.4000 GHz,256,6,KNP
176988160,225603584,11542528,28672,0,183246848,0,1.2725269794464111,Intel(R) Xeon(R) CPU E5-2643 v3 @ 3.40GHz,GenuineIntel,X86_64,12,3145728,20971520,3.7000 GHz,3.4000 GHz,256,6,KNP
