user,system,children_user,children_system,iowait,time,brand_raw,vendor_id_raw,arch,count,l2_cache_size,l3_cache_size,hz_actual_friendly,hz_advertised_friendly,l2_cache_line_size,l2_cache_associativity,benchmark
1.79,0.05,0.0,0.0,0.0,1.8561499118804932,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
1.84,0.05,0.0,0.0,0.0,1.9090490341186523,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
1.89,0.06,0.0,0.0,0.0,1.963494062423706,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
1.95,0.06,0.0,0.0,0.0,2.019432544708252,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
2.0,0.07,0.0,0.0,0.0,2.0770223140716553,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
2.06,0.07,0.0,0.0,0.0,2.1362345218658447,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
2.12,0.07,0.0,0.0,0.0,2.1971194744110107,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
2.18,0.07,0.0,0.0,0.0,2.259763717651367,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
2.25,0.07,0.0,0.0,0.0,2.3241727352142334,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
2.31,0.07,0.0,0.0,0.0,2.3904261589050293,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
